"url","status","finalUrl","redirectHops","rateLimited","providerValidated","broken","error","scope"
"https://x3yyntt5tp-staging.wpdns.site/es/locations/north-hall-campus-murraysville/","200","https://x3yyntt5tp-staging.wpdns.site/es/locations/north-hall-campus-murraysville/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=8641","200","https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=8641","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/locations/parklake-campus/","200","https://x3yyntt5tp-staging.wpdns.site/es/locations/parklake-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4415","200","https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4415","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/locations/rivergreen-campus/","200","https://x3yyntt5tp-staging.wpdns.site/es/locations/rivergreen-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4409","200","https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4409","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/locations/roswell-campus/","200","https://x3yyntt5tp-staging.wpdns.site/es/locations/roswell-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4413","200","https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4413","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/locations/satellite-bvd-campus/","200","https://x3yyntt5tp-staging.wpdns.site/es/locations/satellite-bvd-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4420","200","https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4420","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/locations/newnan/","200","https://x3yyntt5tp-staging.wpdns.site/es/locations/newnan/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4416","200","https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4416","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/locations/south-cobb-campus-austell/","200","https://x3yyntt5tp-staging.wpdns.site/es/locations/south-cobb-campus-austell/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=6782","200","https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=6782","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/locations/chroma-early-learning-academy-stockbridge/","200","https://x3yyntt5tp-staging.wpdns.site/es/locations/chroma-early-learning-academy-stockbridge/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=6780","200","https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=6780","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/locations/chroma-early-learning-academy-sugarloaf-pkwy/","200","https://x3yyntt5tp-staging.wpdns.site/es/locations/chroma-early-learning-academy-sugarloaf-pkwy/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4290","200","https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4290","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/locations/tramore-campus-austell/","200","https://x3yyntt5tp-staging.wpdns.site/es/locations/tramore-campus-austell/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4287","200","https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4287","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/locations/tyrone-campus/","200","https://x3yyntt5tp-staging.wpdns.site/es/locations/tyrone-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4411","200","https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/?campus=4411","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/locations/west-cobb-campus/","200","https://x3yyntt5tp-staging.wpdns.site/es/locations/west-cobb-campus/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/stories/","200","https://x3yyntt5tp-staging.wpdns.site/es/stories/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/employers/","200","https://x3yyntt5tp-staging.wpdns.site/es/employers/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/communities/","200","https://x3yyntt5tp-staging.wpdns.site/es/communities/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/","200","https://x3yyntt5tp-staging.wpdns.site/es/schedule-a-tour/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/2026/05/22/georgia-pre-k-parent-guide/","200","https://x3yyntt5tp-staging.wpdns.site/2026/05/22/georgia-pre-k-parent-guide/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/2026/01/13/explore-the-link-between-care-quality-and-education-pricing/","200","https://x3yyntt5tp-staging.wpdns.site/es/2026/01/13/explore-the-link-between-care-quality-and-education-pricing/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/es/newsroom/","200","https://x3yyntt5tp-staging.wpdns.site/es/newsroom/","0","false","false","false","","internal"
"https://x3yyntt5tp-staging.wpdns.site/","200","https://x3yyntt5tp-staging.wpdns.site/","0","false","false","false","","internal"
