meta_key,source_file,discovery_methods,api_write,content_write_policy,geo_status
parents_moments_gallery,chroma-excellence-theme/inc/parents-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
parents_nutrition_badge,chroma-excellence-theme/inc/parents-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
parents_nutrition_description,chroma-excellence-theme/inc/parents-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
parents_nutrition_image,chroma-excellence-theme/inc/parents-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
parents_nutrition_title,chroma-excellence-theme/inc/parents-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
parents_referral_button_text,chroma-excellence-theme/inc/parents-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
parents_referral_button_url,chroma-excellence-theme/inc/parents-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
parents_referral_description,chroma-excellence-theme/inc/parents-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
parents_referral_title,chroma-excellence-theme/inc/parents-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
parents_resource_enrollment_desc,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_enrollment_icon,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_enrollment_title,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_enrollment_url,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_handbook_desc,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_handbook_icon,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_handbook_title,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_handbook_url,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_prekga_desc,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_prekga_icon,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_prekga_title,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_prekga_url,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_procare_desc,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_procare_icon,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_procare_title,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_procare_url,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_tuition_desc,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_tuition_icon,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_tuition_title,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_tuition_url,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_waitlist_desc,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_waitlist_icon,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_waitlist_title,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_resource_waitlist_url,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_safety1_desc,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_safety1_icon,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_safety1_title,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_safety2_desc,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_safety2_icon,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_safety2_title,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_safety3_desc,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_safety3_icon,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_safety3_title,chroma-excellence-theme/inc/parents-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
parents_safety_description,chroma-excellence-theme/inc/parents-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
parents_safety_title,chroma-excellence-theme/inc/parents-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
privacy_last_updated,chroma-excellence-theme/inc/privacy-page-meta.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_age_range,chroma-excellence-theme/inc/class-program-enhancements.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_age_range,chroma-excellence-theme/inc/cpt-programs.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_age_range,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-spanish-content.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_anchor_slug,chroma-excellence-theme/inc/cpt-programs.php,update_post_meta|register_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
program_color_scheme,chroma-excellence-theme/inc/cpt-programs.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_cta_link,chroma-excellence-theme/inc/cpt-programs.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_cta_text,chroma-excellence-theme/inc/cpt-programs.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_cta_text,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-spanish-content.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_faq_items,chroma-excellence-theme/inc/cpt-programs.php,update_post_meta|register_post_meta|get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
program_faqs,chroma-excellence-theme/inc/class-program-enhancements.php,update_post_meta|delete_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_features,chroma-excellence-theme/inc/cpt-programs.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_features,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-spanish-content.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_gallery,chroma-excellence-theme/inc/class-program-enhancements.php,update_post_meta|delete_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
program_hero_description,chroma-excellence-theme/inc/cpt-programs.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
