kind,name,path,target,status,notes
css-url,../webfonts/fa-regular-400.ttf,chroma-excellence-theme/assets/css/font-awesome.css,chroma-excellence-theme/assets/css/../webfonts/fa-regular-400.ttf,exists,
css-url,../webfonts/fa-v4compatibility.woff2,chroma-excellence-theme/assets/css/font-awesome.css,chroma-excellence-theme/assets/css/../webfonts/fa-v4compatibility.woff2,exists,
css-url,../webfonts/fa-v4compatibility.ttf,chroma-excellence-theme/assets/css/font-awesome.css,chroma-excellence-theme/assets/css/../webfonts/fa-v4compatibility.ttf,exists,
css-url,../webfonts/Outfit-Light.woff2,chroma-excellence-theme/assets/css/input.css,chroma-excellence-theme/assets/css/../webfonts/Outfit-Light.woff2,exists,
css-url,../webfonts/Outfit-Regular.woff2,chroma-excellence-theme/assets/css/input.css,chroma-excellence-theme/assets/css/../webfonts/Outfit-Regular.woff2,exists,
css-url,../webfonts/Outfit-Medium.woff2,chroma-excellence-theme/assets/css/input.css,chroma-excellence-theme/assets/css/../webfonts/Outfit-Medium.woff2,exists,
css-url,../webfonts/Outfit-SemiBold.woff2,chroma-excellence-theme/assets/css/input.css,chroma-excellence-theme/assets/css/../webfonts/Outfit-SemiBold.woff2,exists,
css-url,../webfonts/Outfit-Bold.woff2,chroma-excellence-theme/assets/css/input.css,chroma-excellence-theme/assets/css/../webfonts/Outfit-Bold.woff2,exists,
css-url,../webfonts/PlayfairDisplay-SemiBold.woff2,chroma-excellence-theme/assets/css/input.css,chroma-excellence-theme/assets/css/../webfonts/PlayfairDisplay-SemiBold.woff2,exists,
css-url,../webfonts/PlayfairDisplay-Bold.woff2,chroma-excellence-theme/assets/css/input.css,chroma-excellence-theme/assets/css/../webfonts/PlayfairDisplay-Bold.woff2,exists,
css-url,../webfonts/PlayfairDisplay-ExtraBold.woff2,chroma-excellence-theme/assets/css/input.css,chroma-excellence-theme/assets/css/../webfonts/PlayfairDisplay-ExtraBold.woff2,exists,
css-url,../webfonts/Outfit-Light.woff2,chroma-excellence-theme/assets/css/main.css,chroma-excellence-theme/assets/css/../webfonts/Outfit-Light.woff2,exists,
css-url,../webfonts/Outfit-Regular.woff2,chroma-excellence-theme/assets/css/main.css,chroma-excellence-theme/assets/css/../webfonts/Outfit-Regular.woff2,exists,
css-url,../webfonts/Outfit-Medium.woff2,chroma-excellence-theme/assets/css/main.css,chroma-excellence-theme/assets/css/../webfonts/Outfit-Medium.woff2,exists,
css-url,../webfonts/Outfit-SemiBold.woff2,chroma-excellence-theme/assets/css/main.css,chroma-excellence-theme/assets/css/../webfonts/Outfit-SemiBold.woff2,exists,
css-url,../webfonts/Outfit-Bold.woff2,chroma-excellence-theme/assets/css/main.css,chroma-excellence-theme/assets/css/../webfonts/Outfit-Bold.woff2,exists,
css-url,../webfonts/PlayfairDisplay-SemiBold.woff2,chroma-excellence-theme/assets/css/main.css,chroma-excellence-theme/assets/css/../webfonts/PlayfairDisplay-SemiBold.woff2,exists,
css-url,../webfonts/PlayfairDisplay-Bold.woff2,chroma-excellence-theme/assets/css/main.css,chroma-excellence-theme/assets/css/../webfonts/PlayfairDisplay-Bold.woff2,exists,
css-url,../webfonts/PlayfairDisplay-ExtraBold.woff2,chroma-excellence-theme/assets/css/main.css,chroma-excellence-theme/assets/css/../webfonts/PlayfairDisplay-ExtraBold.woff2,exists,
asset-ref,assets/images/logo_chromacropped_70x70.webp,chroma-excellence-theme/footer.php,chroma-excellence-theme/assets/images/logo_chromacropped_70x70.webp,exists,
asset-ref,assets/images/logo_chromacropped_70x70.webp,chroma-excellence-theme/footer.php,chroma-excellence-theme/assets/images/logo_chromacropped_70x70.webp,exists,
asset-ref,assets/images/logo_chromacropped_140x140.webp,chroma-excellence-theme/footer.php,chroma-excellence-theme/assets/images/logo_chromacropped_140x140.webp,exists,
template-part,template-parts/home/hero,chroma-excellence-theme/front-page.php,chroma-excellence-theme/template-parts/home/hero.php,exists,
template-part,template-parts/home/prismpath-expertise,chroma-excellence-theme/front-page.php,chroma-excellence-theme/template-parts/home/prismpath-expertise.php,exists,
template-part,template-parts/home/stats-strip,chroma-excellence-theme/front-page.php,chroma-excellence-theme/template-parts/home/stats-strip.php,exists,
