kind,name,path,line,scope,status,notes
wp_action,save_post_program,chroma-excellence-theme\inc\class-program-enhancements.php,19,hook,registered,
wp_action,wp_head,chroma-excellence-theme\inc\class-program-enhancements.php,21,hook,registered,
wp_action,template_redirect,chroma-excellence-theme\inc\cleanup.php,45,hook,registered,
wp_action,template_redirect,chroma-excellence-theme\inc\cleanup.php,60,hook,registered,
wp_action,template_redirect,chroma-excellence-theme\inc\cleanup.php,161,hook,registered,
wp_action,do_feed,chroma-excellence-theme\inc\cleanup.php,204,hook,registered,
wp_action,do_feed_rdf,chroma-excellence-theme\inc\cleanup.php,205,hook,registered,
wp_action,do_feed_rss,chroma-excellence-theme\inc\cleanup.php,206,hook,registered,
wp_action,do_feed_rss2,chroma-excellence-theme\inc\cleanup.php,207,hook,registered,
wp_action,do_feed_atom,chroma-excellence-theme\inc\cleanup.php,208,hook,registered,
wp_action,do_feed_rss2_comments,chroma-excellence-theme\inc\cleanup.php,209,hook,registered,
wp_action,do_feed_atom_comments,chroma-excellence-theme\inc\cleanup.php,210,hook,registered,
wp_action,init,chroma-excellence-theme\inc\cleanup.php,227,hook,registered,
wp_action,template_redirect,chroma-excellence-theme\inc\cleanup.php,278,hook,registered,
wp_action,send_headers,chroma-excellence-theme\inc\cleanup.php,331,hook,registered,
wp_filter,comments_open,chroma-excellence-theme\inc\cleanup.php,25,hook,registered,
wp_filter,xmlrpc_enabled,chroma-excellence-theme\inc\cleanup.php,166,hook,registered,
wp_filter,tiny_mce_plugins,chroma-excellence-theme\inc\cleanup.php,224,hook,registered,
wp_filter,wp_resource_hints,chroma-excellence-theme\inc\cleanup.php,225,hook,registered,
wp_filter,wp_robots,chroma-excellence-theme\inc\cleanup.php,302,hook,registered,
wp_filter,wpseo_robots,chroma-excellence-theme\inc\cleanup.php,318,hook,registered,
wp_filter,chroma_sitemap_post_types,chroma-excellence-theme\inc\cleanup.php,343,hook,registered,
wp_filter,robots_txt,chroma-excellence-theme\inc\cleanup.php,400,hook,registered,
wp_action,add_meta_boxes,chroma-excellence-theme\inc\contact-page-meta.php,63,hook,registered,
